ECal_Offset_Factor_ADCmerge_const_alhpa:	0.137221	0.0103932	115.367	0.018861	0.897309
WCal_Offset_Factor_ADCmerge_const_alhpa:	-0.0475356	0.00891847	148.105	0.00713415	1.03733

#EastData EastDataErr    WestData WestDataErr     EastSim  EastSimErr     WestSim  WestSimErr
374.3627     1.92884    450.7846    1.992335    4.013137   0.0175351    4.019067  0.01667961
294.1569    1.386118     366.541    1.495313    3.187027  0.01200603    3.194084  0.01203684
250.8728    1.150817    314.2208     1.27164    2.750588 0.009831005    2.753781 0.009551211
224.7133    1.040644    283.1626    1.121562    2.472338  0.00853171    2.482513 0.008467185
206.7505   0.9875715    263.8018     1.04838     2.29896 0.008093865    2.279193 0.007816513
193.8145     0.96957    245.7624    1.039383    2.151892 0.007840478    2.147884 0.007649187
185.0742   0.9652972    237.8579    1.065074    2.070899 0.007904676    2.061595 0.008090112
177.3459    0.988296    227.2294    1.123666    1.993825 0.008658504    2.000555 0.008272573
173.8207    1.093616    219.8262    1.241674    1.929541 0.009130026    1.926112 0.009108356
170.0441    1.305539    216.2595    1.422145    1.885054  0.01029408    1.887796  0.01033419
165.5137    1.499964    212.2911    1.685889    1.853636  0.01248287    1.821338  0.01253812
161.9146    2.110084    206.2199    2.271034    1.827076  0.01755882    1.810214  0.01690989
162.9881    3.099389    206.6552    3.224136    1.774546  0.02312337    1.826349  0.02666495
165.3668    5.204744    198.1052    5.547099    1.738975  0.04361418    1.785115  0.04917067
