ECal_Offset_Factor_err:	2.26931	-11300	0.00424264
WCal_Offset_Factor_err:	2.26742	-65182.6	0.006

#EastData EastDataErr    WestData WestDataErr     EastSim  EastSimErr     WestSim  WestSimErr
0           0           0           0    4.015584  0.01812318     4.03975  0.01825697
0           0           0           0    3.171375  0.01260816    3.184311  0.01256169
0           0           0           0    2.746646  0.01035175    2.745764  0.01017099
0           0           0           0    2.473071 0.009243974    2.475077 0.009240533
0           0           0           0      2.2935 0.008644081    2.283076 0.008369953
0           0           0           0    2.162475 0.008397189    2.161515 0.008487457
0           0           0           0    2.071851 0.008705447    2.082176 0.008606854
0           0           0           0    1.998334 0.009189311    1.982918 0.008806806
0           0           0           0      1.9506  0.01006766    1.943292 0.009850314
0           0           0           0    1.888315  0.01143354    1.919569  0.01121956
0           0           0           0    1.850042   0.0135562     1.84167  0.01329171
0           0           0           0    1.808117  0.01799928    1.820771  0.01815685
0           0           0           0    1.777359  0.02488446     1.80032    0.025632
0           0           0           0     1.72625  0.04516279    1.729794  0.05337166
