ECal_Offset_Factor_err:	2.26872	-12895.2	0.00424264
WCal_Offset_Factor_err:	2.24875	-74384.3	0.006

#EastData EastDataErr    WestData WestDataErr     EastSim  EastSimErr     WestSim  WestSimErr
0           0           0           0    3.960135  0.01594546     4.02869  0.01621992
0           0           0           0    3.171568  0.01087721    3.170464  0.01115692
0           0           0           0    2.742104 0.009176256     2.74603 0.009267229
0           0           0           0    2.469452 0.007891336    2.457394 0.007843823
0           0           0           0    2.281161 0.007545133    2.278563 0.007404913
0           0           0           0    2.162428 0.007435544    2.154245 0.007416203
0           0           0           0      2.0732 0.007567271    2.042799 0.007496129
0           0           0           0    1.986186 0.008132891    1.984229 0.007760011
0           0           0           0     1.93762 0.008803649    1.937181 0.008504171
0           0           0           0     1.89226 0.009853487    1.876875 0.009714177
0           0           0           0     1.88162  0.01208892    1.841727  0.01154787
0           0           0           0    1.816684  0.01602897    1.831393  0.01554319
0           0           0           0    1.800435   0.0229824    1.785343  0.02425897
0           0           0           0    1.763664  0.04140677    1.777173  0.03940178
