ECal_Offset_Factor_err:	2.25754	-11847	0.00424264
WCal_Offset_Factor_err:	2.25551	-68338	0.006

#EastData EastDataErr    WestData WestDataErr     EastSim  EastSimErr     WestSim  WestSimErr
0           0           0           0    4.029455  0.01736966    4.012483  0.01706128
0           0           0           0     3.16804  0.01170939    3.193003  0.01142479
0           0           0           0    2.723393 0.009267621    2.747435  0.00932687
0           0           0           0    3.842546  0.02236843    2.471276 0.008508761
0           0           0           0    2.285718 0.007917765    2.291876 0.007650093
0           0           0           0    2.156361 0.007763971    2.161946   0.0076413
0           0           0           0    2.071458 0.007907056    2.049428 0.007686127
0           0           0           0    1.981652 0.008064237    1.974224 0.008084526
0           0           0           0    1.945247 0.009046603    1.931332 0.009097694
0           0           0           0    1.888551  0.01028082    1.892084  0.01005703
0           0           0           0    1.836904  0.01269095    1.834744  0.01227817
0           0           0           0    1.831566  0.01599358    1.833981  0.01545291
0           0           0           0    1.810944  0.02312277    1.812815  0.02374127
0           0           0           0    1.770895   0.0452037    1.748243  0.04709964
