ECal_Offset_Factor_err:	0.0845702	0.00968609	0.000120852
WCal_Offset_Factor_err:	0.0991384	0.0104344	0.000114427

#EastData EastDataErr    WestData WestDataErr     EastSim  EastSimErr     WestSim  WestSimErr
403.9684    2.683466    376.0886    2.101031    3.981947  0.02281174    4.080296  0.02185043
319.3096    1.878276    297.5585    1.513505    3.175979   0.0152549    3.179431  0.01498976
274.9811     1.58423    255.0217    1.207801    2.752484  0.01195537    2.762501  0.01221904
246.2768    1.406471    227.6091    1.112531    2.472448  0.01118317    2.460282  0.01100197
226.5069    1.327451    210.3568    1.041853    2.283545  0.01034883    2.276982   0.0103522
211.2182    1.260556    195.7416    1.003713     2.14121 0.009979027    2.145346 0.009916292
205.1695    1.347722     187.433    1.076394    2.065172  0.01004289    2.037164  0.01036902
196.0267    1.359864    179.5636    1.085776    1.970381  0.01067343    1.981425  0.01076672
190.2247    1.557246    174.6099    1.140639    1.950428  0.01178462    1.924817  0.01142983
185.813    1.703103     168.599    1.283923    1.869351  0.01342319     1.89086  0.01343779
181.3708    2.051053    163.5896    1.540899    1.836917  0.01567078     1.82727  0.01564697
177.741    2.535545     164.266    2.056049    1.820364  0.02163674    1.827052  0.02170983
180.3237    3.975183    163.2659    3.179348    1.759546  0.03431571     1.76119  0.03401508
180.0199    5.774863    161.1322    4.921285    1.780478  0.07090714    1.746444  0.06033499
