ECal_Offset_Factor_err:	0.0911942	0.00998614	7.65405e-05
WCal_Offset_Factor_err:	0.10401	0.00853168	5.79872e-05

#EastData EastDataErr    WestData WestDataErr     EastSim  EastSimErr     WestSim  WestSimErr
392.4115    1.579145    456.2938    1.553543    4.019444  0.01377356    4.055248     0.01372
309.9212    1.124473    367.1291    1.116953     3.19244 0.009206357    3.198661 0.009387878
265.4144   0.9508589     311.581   0.9165844    2.746154 0.007689612    2.748655 0.007502738
239.6109   0.8480318    281.2997   0.8106446    2.459925 0.006667704    2.472426 0.006628214
219.4059   0.7938959    256.3999    0.761293    2.283948 0.006219042    2.389805 0.009615765
206.2653    0.777249    240.9165   0.7281122    2.157789 0.006216662    2.151407 0.006157322
198.2572   0.8033817    230.6822   0.7652921    2.066797 0.006337851    2.051689 0.006055209
190.9201    0.845754    220.6224   0.7878783    1.987595 0.006659798    1.985557 0.006578092
184.2999   0.9204468    213.6741   0.8603319    1.932799 0.007277069    1.933106 0.007271689
178.2752    1.063795    207.7718   0.9628555    1.898043 0.008176768    1.890171 0.008057388
175.8718    1.304874    204.9669     1.21128    1.849658 0.009939912     1.84485  0.01008223
171.2059    1.645172    197.1103    1.570851    1.817293  0.01298081    1.793243  0.01331807
173.9353    2.697478    195.3799    2.476446    1.798288  0.01918316    1.799723  0.02070658
170.372    5.714199     204.077    5.418662    1.759665  0.03602926     1.75978  0.03660321
