ECal_Offset_Factor_err:	0.205824	0.00831507	5.89759e-05
WCal_Offset_Factor_err:	-0.0250265	0.0086301	5.42011e-05

#EastData EastDataErr    WestData WestDataErr     EastSim  EastSimErr     WestSim  WestSimErr
463.1329    1.764497    463.6552    1.418416    4.029887  0.01231912    4.034787  0.01202065
366.0034    1.287975     375.237    1.060733    3.208155 0.008489626    3.183138 0.008438672
310.2866    1.055383     323.294   0.8912028    2.760548 0.007015333    2.760087 0.006802562
279.0906   0.9610887    291.0001   0.7915466    2.466971  0.00625306    2.469451 0.006081402
255.3643   0.8850155    268.2788    0.742436    2.291084 0.005882447    2.293852 0.005684912
239.5276   0.8539907      252.69   0.7204877    2.167333 0.005655987    2.142731 0.005383218
229.3173   0.8801668    240.7912   0.7290433    3.211089  0.01686208    2.057512 0.005695699
218.1201   0.9215495    232.6678   0.7643328    1.993135 0.006077157    1.983607  0.00598787
211.5997   0.9784996    224.2574   0.8263971    1.933911  0.00660103    1.937106 0.006372399
208.2967     1.13505    220.2032   0.9330028    1.879087 0.007543776    1.884313 0.007275988
202.4672      1.3381    216.2026    1.107563    1.834761 0.008988101    1.833286  0.00897651
197.6222    1.678799    210.8467    1.392972    1.820203   0.0119116    1.784481  0.01287609
193.3749    2.413873     207.834    2.179648    1.765122  0.01895215    1.781088  0.01805369
192.7425     4.46348    208.9995    3.899932    1.800033  0.03223476    1.791673  0.03191093
