ECal_Offset_Factor_err:	0.15827	0.00937933	7.62131e-05
WCal_Offset_Factor_err:	-0.687831	0.00862445	0.000155595

#EastData EastDataErr    WestData WestDataErr     EastSim  EastSimErr     WestSim  WestSimErr
407.3771     1.79255      525.47    5.117803    3.992973  0.01455506    4.029857  0.01438971
324.8417    1.307394    451.6136    3.863573    3.174474  0.01009384    3.173714 0.009948799
275.6923    1.082677    405.9085    3.326566    2.747811 0.008176682     2.73568 0.008172762
246.3517   0.9411783    372.1925    3.033836    2.467513 0.007343617    2.477036 0.007148244
224.6385   0.8558576    348.2839    2.921088    2.291635 0.006880347    2.290352 0.006653085
213.5622   0.8691658    331.7989    2.849804    2.161611 0.006612938    2.151642 0.006556317
203.371   0.8645505    320.6482    2.928943    2.058707 0.006680621    2.047581 0.006669438
195.8347    0.898152    311.2485    3.104213    1.983534 0.007187344    1.984345 0.007033107
188.7773    0.990249    297.5297      3.3518    1.938482 0.007799805     1.93483 0.007503162
183.8321    1.093958    289.1081    3.828068    1.887533 0.008792303    1.875508 0.008855431
177.5115    1.273001    283.6469    4.663746     1.84656  0.01033525    1.852691  0.01028017
180.9691    1.599312    276.0867    5.976058    1.806572  0.01402148     1.81206  0.01324329
177.0631    2.283369    283.4514    8.854487    1.745868  0.02056698    1.806953  0.02136074
178.4722    3.982613    307.5705    16.67647    1.876035  0.04222065    1.814513  0.03893508
