ECal_Offset_Factor_ADCmerge_const_alhpa:	2.25515	-12997.4	-50	-nan	0.999997
WCal_Offset_Factor_ADCmerge_const_alhpa:	2.25772	-13234.1	-50	-nan	0.999997

#EastData EastDataErr    WestData WestDataErr     EastSim  EastSimErr     WestSim  WestSimErr
0           0           0           0    3.990338  0.01612831    4.001599  0.01549603
0           0           0           0    3.173685  0.01112404    3.210837  0.01087258
0           0           0           0    2.715074 0.008956366    2.747859 0.008969955
0           0           0           0    2.455727 0.007901006     2.46631 0.007917694
0           0           0           0    2.300908  0.00766947    2.283373  0.00727227
0           0           0           0    2.163221 0.007554702    2.155507 0.007087862
0           0           0           0     2.06553 0.007365182    2.048813 0.007363378
0           0           0           0    1.977543 0.007650745    1.984908 0.007721645
0           0           0           0      1.9386 0.008621445    1.927732 0.008482074
0           0           0           0    1.909758 0.009418392    1.885463 0.009640793
0           0           0           0    1.864333  0.01205243    1.837412  0.01173263
0           0           0           0    1.821768   0.0153654    1.810831  0.01461681
0           0           0           0    1.799127  0.02211473    1.803841  0.02368421
0           0           0           0    1.786312  0.03616351    1.746415  0.04826646
