ECal_Offset_Factor_err:	0.186987	0.00922097	0.000103705
WCal_Offset_Factor_err:	-0.225074	0.00748057	7.80275e-05

#EastData EastDataErr    WestData WestDataErr     EastSim  EastSimErr     WestSim  WestSimErr
413.9726    2.522552    557.7124    2.708567    4.015598  0.02109621    4.018259  0.01975545
327.5    1.762985    457.5757    1.979548    3.187509  0.01414887    3.203176  0.01386312
275.3316    1.453228    403.7902     1.66757    2.749118  0.01168293    2.759191  0.01142726
250.2686    1.308298    362.6902     1.56151    2.472067   0.0102445    2.479209  0.01001347
226.0046    1.239441    339.5536    1.474971    2.282357 0.009746507    2.289171 0.009578057
214.0444    1.192323    319.6635     1.41274    2.156039 0.009081337     2.15851 0.009437681
203.1339    1.215764    306.7196    1.469529     2.06154 0.009694532    2.053931 0.009286003
195.1219    1.303255    289.7061    1.542138    1.984761 0.009928491    1.966432  0.01000533
189.1861    1.387075    285.3304    1.744698    1.940707  0.01101846    1.924411  0.01106327
184.9734    1.585239    280.6824    1.929209    1.907606  0.01195339    1.904737  0.01237322
181.0805    1.817816    273.5219    2.388949    1.850473  0.01455293    1.833255  0.01449286
181.0361    2.223915    266.2131    2.867747    1.818955  0.02020379    1.803113  0.01876994
172.3031    3.407211    268.8717    4.577614    1.820257  0.02751004    1.769613  0.02574006
172.3347    5.486178    264.5924    7.663546    1.650042  0.05225166    1.739592  0.04889337
