ECal_Offset_Factor_err:	2.25638	-13154.3	0.00424264
WCal_Offset_Factor_err:	2.25407	-75879	0.006

#EastData EastDataErr    WestData WestDataErr     EastSim  EastSimErr     WestSim  WestSimErr
0           0           0           0     4.00793  0.01610082     3.99792  0.01543441
0           0           0           0    3.171477  0.01076845    3.189577  0.01098874
0           0           0           0    2.740149 0.009004382      2.7733 0.009813525
0           0           0           0    2.468448 0.007897588    2.450065 0.008013256
0           0           0           0    2.295202 0.007601577    2.291311 0.007349375
0           0           0           0    2.165641 0.007222471     2.15759 0.007061819
0           0           0           0    2.048881 0.007057788    2.053016 0.007472855
0           0           0           0    1.990031 0.007943401    1.982928   0.0078628
0           0           0           0    1.935634 0.008347987      1.9441 0.008563579
0           0           0           0    1.885611  0.00964464    1.888529 0.009754626
0           0           0           0    1.852742  0.01144082    1.831047  0.01136611
0           0           0           0    1.817807  0.01585028    1.810441  0.01509248
0           0           0           0     1.79581  0.02277724    1.760657  0.02485879
0           0           0           0    1.782693  0.04310148    1.821738  0.04763275
