ECal_Offset_Factor_ADCmerge_const_alhpa:	0.0750238	0.00988377	133.325	0.0135966	0.946134
WCal_Offset_Factor_ADCmerge_const_alhpa:	0.340176	0.503457	-46.4134	-nan	1.01477

#EastData EastDataErr    WestData WestDataErr     EastSim  EastSimErr     WestSim  WestSimErr
399.6882    5.666796    3.413752  0.08971978    4.065683  0.04191864     3.89322  0.03730968
329.7462    3.804878     3.45717  0.07858177    3.223002   0.0293191    3.205362  0.02881713
269.1433    3.167882    3.303571  0.07561012    2.781776  0.02454508    2.763284  0.02185349
245.378    2.857275    3.446878  0.07293809    2.508016  0.02090334    2.495282  0.01982909
222.7698     2.66364    3.491818  0.07526221     2.33285  0.02054259    2.244264  0.01801171
214.323    2.532501    3.578775  0.07549856    2.190317  0.01833628    2.143519  0.01883737
202.2094    2.737594    3.507543  0.08271114    2.073495  0.01999781    2.074696  0.01836137
195.6951    2.848186    3.408691  0.08864091    1.994685  0.01971245    2.006479   0.0185845
189.0759    2.855185    3.492823   0.1010321    1.932653  0.02309232    1.933314   0.0212783
182.5797     3.52937    3.363029   0.1234708    1.886392  0.02715413    1.902315  0.02538029
179.6966    3.813447    5.000007 0.002102982    1.846198  0.02777367    1.825345   0.0255867
183.3255    4.979335    3.586572   0.2070873     1.79439  0.04098712    1.784938  0.03718924
