ECal_Offset_Factor_ADCmerge_const_alhpa:	0.175824	0.00682315	168.516	0.0155278	0.867366
WCal_Offset_Factor_ADCmerge_const_alhpa:	-0.189618	0.00113874	1563.69	0.000423493	1.11918

#EastData EastDataErr    WestData WestDataErr     EastSim  EastSimErr     WestSim  WestSimErr
534.2596    12.811468.891245e+07   0.9999995    3.873546  0.08159176    3.885721   0.0794173
423.9691    10.04402      2944.8    109.3153    3.071519  0.05760293    3.158813  0.06379404
386.4841    9.550214    2520.523    81.69683     2.76197  0.04725092     2.72075  0.05426961
344.0691    9.368527    2373.911    68.12401    2.433809  0.04314537    2.397708  0.04759574
304.2607     8.50894    2187.089    67.25027    2.332337  0.04272941    2.368947  0.04232624
278.5756     7.54158    2078.812    61.11352    2.110171  0.04093589    2.256622  0.04190562
271.9672    8.493651    2000.823    60.01999    2.072852  0.04093181    2.110177  0.04172097
263.8122    7.599725    2007.302    54.32203    1.961475  0.03585296     1.93882  0.04059616
257.5144    7.703724    1776.852    63.28096    1.904262  0.04550761    1.862452   0.0461148
257.8218    8.862841    1907.573    60.37481    1.904243  0.05142146    1.973977  0.05513804
249.09    13.21821    1784.318    80.88697    1.796732  0.06322625    1.917653  0.05917951
218.5155    13.36342    1613.694     103.072    1.788355  0.07905792    1.793909  0.09814541
