ECal_Offset_Factor_ADCmerge_const_alhpa:	0.0849267	0.00698883	200.861	0.0100297	0.942953
WCal_Offset_Factor_ADCmerge_const_alhpa:	-0.0946124	0.00181488	1041.32	0.0011954	1.0527

#EastData EastDataErr    WestData WestDataErr     EastSim  EastSimErr     WestSim  WestSimErr
550.2529    8.353916-2.157987e+08           1    4.019021  0.05021027    4.032165  0.04743179
440.8009    5.711222    1824.925    21.81876    3.167907  0.03345763    3.191215  0.03370488
391.3314    5.011621    1537.235    17.42268    2.733621   0.0305395    2.699397  0.02711984
346.9451    4.610148    1418.104    15.76088    2.493202  0.02686968    2.444416  0.02483133
319.4107     4.45283    1299.053     14.3588    2.338888  0.02380802    2.294616  0.02258236
297.7636    4.190259    1218.278    13.59528    2.144137  0.02322848    2.133348  0.02300604
290.1984     4.68467    1173.605    14.78294    2.132221  0.02269338    2.076745  0.02239052
276.4354     4.44063    1139.879    15.63398     2.03499  0.02408166    1.970408  0.02237086
258.8992    5.050554    1111.551    14.75065    1.926391  0.02792801    1.894433   0.0252143
261.1715    5.985588    1089.966    19.34875    1.921098  0.03185187    1.939594  0.03203776
252.9327    7.008018    1054.038    24.63236    1.778012  0.03725865    1.802929  0.03746424
250.8612    8.557308    1091.316    28.58122    1.899391   0.0435323    1.695683  0.04498356
